Date;Brent Price;Carbon Price
20080103;116,969;28,749
20080104;116,683;28,761
20080107;115,714;28,896
20080108;112,845;28,945
20080109;114,22;28,603
20080110;112,821;28,224
20080111;110,251;28,224
20080114;108,876;28,59
20080115;111,088;28,297
20080116;108,768;27,784
20080117;107,187;27,149
20080118;106,289;27,21
20080121;106,864;25,452
20080122;104,804;24,804
20080123;105,93;24,462
20080124;103,738;24,133
20080125;106,672;25,696
20080128;108,864;25,22
20080129;109,439;25,281
20080130;110,181;24,523
20080131;110,816;23,327
20080201;110,433;23,473
20080204;107,116;23,437
20080205;108,349;23,009
20080206;106,373;24,389
20080207;105,127;24,963
20080208;106,002;24,902
20080211;110,11;24,621
20080212;112,014;24,389
20080213;111,211;24,34
20080214;111,777;25,305
20080215;114,459;25,488
20080218;113,821;25,562
20080219;114,158;26,429
20080220;118,549;26,258
20080221;118,38;26,502
20080222;115,758;26,233
20080225;116,684;26,368
20080226;117,502;26,074
20080227;119,643;25,965
20080228;118,2;25,842
20080229;121,363;26,026
20080303;120,401;25,5
20080304;120,858;25,244
20080305;117,298;25,94
20080306;122,253;26,074
20080307;123,42;26,111
20080310;123,143;26,453
20080311;125,284;26,697
20080312;126,595;26,807
20080313;127,784;27,54
20080314;129,168;27,125
20080317;128,864;26,172
20080318;123,465;26,453
20080319;128,088;26,331
20080320;122,215;26,832
20080325;121,171;27,528
20080326;122,069;27,491
20080327;126,183;27,186
20080328;127,408;26,575
20080331;125,916;27,198
20080401;121,705;27,503
20080402;121,547;28,603
20080403;125,891;28,664
20080404;124,399;28,468
20080407;127,287;29,091
20080408;130,005;28,712
20080409;129,034;28,932
20080410;131,671;29,848
20080411;131,319;29,775
20080414;131,853;30,532
20080415;133,154;30,703
20080416;135,584;30,288
20080417;136,896;30,154
20080418;136,617;29,934
20080421;138,427;30,813
20080422;139,047;30,947
20080423;140,894;30,532
20080424;141,514;29,934
20080425;138,938;30,215
20080428;141,368;30,08
20080429;141,854;29,543
20080430;137,832;29,164
20080502;134,271;28,774
20080505;139,205;29,922
20080506;143,373;30,911
20080507;146,192;30,569
20080508;148,634;30,422
20080509;149,266;30,74
20080512;152,377;31,009
20080513;149,351;30,581
20080514;150,797;29,873
20080515;148,765;30,141
20080516;148,306;30,398
20080519;151,16;30,911
20080520;151,245;30,972
20080521;154,607;31,424
20080522;160,484;31,827
20080523;157,836;31,888
20080526;159,118;32,218
20080527;160,085;32,169
20080528;155,175;31,986
20080529;158,344;32,474
20080530;153,458;31,876
20080602;154,534;32,169
20080603;154,824;33,134
20080604;150,664;32,486
20080605;147,665;32,291
20080606;154,244;33,634
20080609;166,519;33,573
20080610;161,948;33,219
20080611;158,452;33,366
20080612;163,839;33,17
20080613;165,03;32,975
20080616;162,456;33,134
20080617;161,976;33,268
20080618;160,785;33,585
20080619;164,056;33,756
20080620;158,717;33,476
20080623;162,156;33,915
20080624;163,418;33,927
20080625;164,08;33,695
20080626;161,519;34,05
20080627;168,132;34,611
20080630;168,709;35,136
20080701;168,132;35,82
20080702;169,142;34,184
20080703;173,458;33,524
20080704;175,647;33,756
20080707;173,651;33,598
20080708;170,585;31,497
20080709;164,044;31,778
20080710;164,224;32,584
20080711;170,777;33,524
20080714;173,735;33,292
20080715;173,05;32,144
20080716;166,833;30,569
20080717;162,002;31,46
20080718;156,348;29,922
20080721;155,298;29,909
20080722;158,185;30,129
20080723;154,535;30,215
20080724;149,453;30,703
20080725;150,825;30,459
20080728;148,535;29,812
