Date;;Returns
20080103;116,969;-0,245599796
20080104;116,683;-0,833381026
20080107;115,714;-2,510854782
20080108;112,845;1,210987262
20080109;114,220;-1,232178193
20080110;112,821;-2,304619925
20080111;110,251;-1,25485852
20080114;108,876;2,011046632
20080115;111,088;-2,109920576
20080116;108,768;-1,464090039
20080117;107,187;-0,841519693
20080118;106,289;0,539387756
20080121;106,864;-1,946423336
20080122;104,804;1,068434806
20080123;105,930;-2,090668482
20080124;103,738;2,789184166
20080125;106,672;2,033742374
20080128;108,864;0,526663495
20080129;109,439;0,676194091
20080130;110,181;0,574433921
20080131;110,816;-0,346433171
20080201;110,433;-3,050057514
20080204;107,116;1,145029463
20080205;108,349;-1,840645417
20080206;106,373;-1,17781656
20080207;105,127;0,828185572
20080208;106,002;3,80206504
20080211;110,110;1,714605007
20080212;112,014;-0,718925785
20080213;111,211;0,507040301
20080214;111,777;2,371316387
20080215;114,459;-0,558513491
20080218;113,821;0,295452362
20080219;114,158;3,773642564
20080220;118,549;-0,142146435
20080221;118,380;-2,239896377
20080222;115,758;0,796899431
20080225;116,684;0,698513369
20080226;117,502;1,80568915
20080227;119,643;-1,213729879
20080228;118,200;2,641113499
20080229;121,363;-0,796024104
20080303;120,401;0,37890164
20080304;120,858;-2,990121755
20080305;117,298;4,137967328
20080306;122,253;0,949823542
20080307;123,420;-0,224401284
20080310;123,143;1,723679743
20080311;125,284;1,04102941
20080312;126,595;0,934942891
20080313;127,784;1,076700995
20080314;129,168;-0,235128253
20080317;128,864;-4,280528449
20080318;123,465;3,676068731
20080319;128,088;-4,69351219
20080320;122,215;-0,338140551
20080324;121,802;-0,519377915
20080325;121,171;0,738305259
20080326;122,069;3,314248301
20080327;126,183;0,966560949
20080328;127,408;-1,178343854
20080331;125,916;-3,401121665
20080401;121,705;-0,129695234
20080402;121,547;3,511541649
20080403;125,891;-1,192625761
20080404;124,399;2,294961391
20080407;127,287;2,112887505
20080408;130,005;-0,749488238
20080409;129,034;2,02290748
20080410;131,671;-0,26798519
20080411;131,319;0,406316932
20080414;131,853;0,981254148
20080415;133,154;1,808694631
20080416;135,584;0,963261105
20080417;136,896;-0,20436277
20080418;136,617;1,31656419
20080421;138,427;0,446683467
20080422;139,047;1,319578137
20080423;140,894;0,438880271
20080424;141,514;-1,837140057
20080425;138,938;1,734047265
20080428;141,368;0,343230129
20080429;141,854;-2,87633332
20080430;137,832;-1,841770998
20080501;135,316;-0,775267563
20080502;134,271;3,608318225
20080505;139,205;2,95011719
20080506;143,373;1,947186993
20080507;146,192;1,656881658
20080508;148,634;0,424213395
20080509;149,266;2,062593263
20080512;152,377;-2,005624797
20080513;149,351;0,963531198
20080514;150,797;-1,356500413
20080515;148,765;-0,309396111
20080516;148,306;1,906204233
20080519;151,160;0,055988804
20080520;151,245;2,198585988
20080521;154,607;3,731145932
20080522;160,484;-1,664108916
20080523;157,836;0,80891772
20080526;159,118;0,606200235
20080527;160,085;-3,115182082
20080528;155,175;2,021361833
20080529;158,344;-3,134225983
20080530;153,458;0,698946577
20080602;154,534;0,187646654
20080603;154,824;-2,723842189
20080604;150,664;-2,010769871
20080605;147,665;4,358965977
20080606;154,244;7,657474057
20080609;166,519;-2,783684895
20080610;161,948;-2,18179492
20080611;158,452;3,343095986
20080612;163,839;0,723925504
20080613;165,030;-1,571481892
20080616;162,456;-0,296494176
20080617;161,976;-0,737625816
20080618;160,785;2,0136896
20080619;164,056;-3,308303496
20080620;158,717;2,143528072
20080623;162,156;0,775569866
20080624;163,418;0,403862942
20080625;164,080;-1,573207231
20080626;161,519;4,012793998
20080627;168,132;0,342686135
20080630;168,709;-0,342686135
20080701;168,132;0,598932272
20080702;169,142;2,520050531
20080703;173,458;1,253718977
20080704;175,647;-1,142869582
20080707;173,651;-1,78145757
20080708;170,585;-3,909948275
20080709;164,044;0,109886096
20080710;164,224;3,912777936
20080711;170,777;1,717199811
20080714;173,735;-0,395271136
20080715;173,050;-3,658383702
20080716;166,833;-2,938507216
20080717;162,002;-3,552531848
20080718;156,348;-0,673660972
20080721;155,298;1,841756778
