Date;Brent 1M
20080103;116,969
20080104;116,683
20080107;115,714
20080108;112,845
20080109;114,22
20080110;112,821
20080111;110,251
20080114;108,876
20080115;111,088
20080116;108,768
20080117;107,187
20080118;106,289
20080121;106,864
20080122;104,804
20080123;105,93
20080124;103,738
20080125;106,672
20080128;108,864
20080129;109,439
20080130;110,181
20080131;110,816
20080201;110,433
20080204;107,116
20080205;108,349
20080206;106,373
20080207;105,127
20080208;106,002
20080211;110,11
20080212;112,014
20080213;111,211
20080214;111,777
20080215;114,459
20080218;113,821
20080219;114,158
20080220;118,549
20080221;118,38
20080222;115,758
20080225;116,684
20080226;117,502
20080227;119,643
20080228;118,2
20080229;121,363
20080303;120,401
20080304;120,858
20080305;117,298
20080306;122,253
20080307;123,42
20080310;123,143
20080311;125,284
20080312;126,595
20080313;127,784
20080314;129,168
20080317;128,864
20080318;123,465
20080319;128,088
20080320;122,215
20080325;121,171
20080326;122,069
20080327;126,183
20080328;127,408
20080331;125,916
20080401;121,705
20080402;121,547
20080403;125,891
20080404;124,399
20080407;127,287
20080408;130,005
20080409;129,034
20080410;131,671
20080411;131,319
20080414;131,853
20080415;133,154
20080416;135,584
20080417;136,896
20080418;136,617
20080421;138,427
20080422;139,047
20080423;140,894
20080424;141,514
20080425;138,938
20080428;141,368
20080429;141,854
20080430;137,832
20080502;134,271
20080505;139,205
20080506;143,373
20080507;146,192
20080508;148,634
20080509;149,266
20080512;152,377
20080513;149,351
20080514;150,797
20080515;148,765
20080516;148,306
20080519;151,16
20080520;151,245
20080521;154,607
20080522;160,484
20080523;157,836
20080526;159,118
20080527;160,085
20080528;155,175
20080529;158,344
20080530;153,458
20080602;154,534
20080603;154,824
20080604;150,664
20080605;147,665
20080606;154,244
20080609;166,519
20080610;161,948
20080611;158,452
20080612;163,839
20080613;165,03
20080616;162,456
20080617;161,976
20080618;160,785
20080619;164,056
20080620;158,717
20080623;162,156
20080624;163,418
20080625;164,08
20080626;161,519
20080627;168,132
20080630;168,709
20080701;168,132
20080702;169,142
20080703;173,458
20080704;175,647
20080707;173,651
20080708;170,585
20080709;164,044
20080710;164,224
20080711;170,777
20080714;173,735
20080715;173,05
20080716;166,833
20080717;162,002
20080718;156,348
20080721;155,298
20080722;158,185
20080723;154,535
20080724;149,453
20080725;150,825
20080728;148,535
20080729;150,109
20080730;146,376
20080731;151,612
20080801;147,891
20080804;148,129
20080805;143,954
20080806;140,399
20080807;139,564
20080808;140,59
20080811;135,187
20080812;134,399
20080813;132,586
20080814;135,356
20080815;133,977
20080818;132,645
20080819;131,926
20080820;133,47
20080821;134,778
20080822;141,614
20080825;134,26
20080826;134,389
20080827;135,097
20080828;136,97
20080829;134,554
20080901;134,413
20080902;128,945
20080903;127,684
20080904;127,354
20080905;125,279
20080908;122,675
20080909;121,909
20080910;118,255
20080911;116,795
20080912;115,137
20080915;115,206
20080916;109,248
20080917;103,428
20080918;109,943
20080919;110,349
20080922;115,473
20080923;122,927
20080924;119,496
20080925;118,765
20080926;121,258
20080929;120,029
20080930;108,946
20081001;113,804
20081002;110,511
20081003;104,982
20081006;104,622
20081007;97,006
20081008;98,142
20081009;97,794
20081010;95,824
20081013;85,889
20081014;89,796
