Date;Prices;Returns
20080102;27,992;2,250260403
20080103;28,749;2,669120999
20080104;28,761;0,042471863
20080107;28,896;0,466003809
20080108;28,945;0,168918959
20080109;28,603;-1,188468997
20080110;28,224;-1,332493388
20080111;28,224;0
20080114;28,590;1,289785722
20080115;28,297;-1,030494306
20080116;27,784;-1,829319305
20080117;27,149;-2,312241742
20080118;27,210;0,224668708
20080121;25,452;-6,681519817
20080122;24,804;-2,576084129
20080123;24,462;-1,388222591
20080124;24,133;-1,357145736
20080125;25,696;6,276569555
20080128;25,220;-1,871006846
20080129;25,281;0,241838086
20080130;24,523;-3,040940545
20080131;23,327;-5,003595977
20080201;23,473;0,626306849
20080204;23,437;-0,156209352
20080205;23,009;-1,840704087
20080206;24,389;5,824887828
20080207;24,963;2,326261791
20080208;24,902;-0,244918075
20080211;24,621;-1,134414138
20080212;24,389;-0,946929578
20080213;24,340;-0,20050132
20080214;25,305;3,887328317
20080215;25,488;0,72133037
20080218;25,562;0,287081537
20080219;26,429;3,335991752
20080220;26,258;-0,649051884
20080221;26,502;0,925932541
20080222;26,233;-1,018999091
20080225;26,368;0,510797489
20080226;26,074;-1,117850485
20080227;25,965;-0,422436676
20080228;25,842;-0,471476592
20080229;26,026;0,706383912
20080303;25,500;-2,03846831
20080304;25,244;-1,010838932
20080305;25,940;2,720282268
20080306;26,074;0,51655433
20080307;26,111;0,140416592
20080310;26,453;1,301133598
20080311;26,697;0,919124118
20080312;26,807;0,410865677
20080313;27,540;2,696792643
20080314;27,125;-1,519242804
20080317;26,172;-3,575082842
20080318;26,453;1,067543209
20080319;26,331;-0,462749553
20080320;26,832;1,883814036
20080325;27,528;2,561362222
20080326;27,491;-0,133185369
20080327;27,186;-1,116830907
20080328;26,575;-2,271792386
20080331;27,198;2,316705928
20080401;27,503;1,1163322
20080402;28,603;3,91865549
20080403;28,664;0,213265169
20080404;28,468;-0,684055682
20080407;29,091;2,164311088
20080408;28,712;-1,309970138
20080409;28,932;0,762715562
20080410;29,848;3,116811613
20080411;29,775;-0,245801025
20080414;30,532;2,511270082
20080415;30,703;0,558437829
20080416;30,288;-1,361654999
20080417;30,154;-0,444534981
20080418;29,934;-0,731710582
20080421;30,813;2,895256511
20080422;30,947;0,435041224
20080423;30,532;-1,350835002
20080424;29,934;-1,979462733
20080425;30,215;0,934016942
20080428;30,080;-0,445615483
20080429;29,543;-1,802588751
20080430;29,164;-1,28980361
20080502;28,774;-1,349092974
20080505;29,922;3,912275877
20080506;30,911;3,252645701
20080507;30,569;-1,112446911
