Date;Carbon F
20080103;28,749
20080104;28,761
20080107;28,896
20080108;28,945
20080109;28,603
20080110;28,224
20080111;28,224
20080114;28,59
20080115;28,297
20080116;27,784
20080117;27,149
20080118;27,21
20080121;25,452
20080122;24,804
20080123;24,462
20080124;24,133
20080125;25,696
20080128;25,22
20080129;25,281
20080130;24,523
20080131;23,327
20080201;23,473
20080204;23,437
20080205;23,009
20080206;24,389
20080207;24,963
20080208;24,902
20080211;24,621
20080212;24,389
20080213;24,34
20080214;25,305
20080215;25,488
20080218;25,562
20080219;26,429
20080220;26,258
20080221;26,502
20080222;26,233
20080225;26,368
20080226;26,074
20080227;25,965
20080228;25,842
20080229;26,026
20080303;25,5
20080304;25,244
20080305;25,94
20080306;26,074
20080307;26,111
20080310;26,453
20080311;26,697
20080312;26,807
20080313;27,54
20080314;27,125
20080317;26,172
20080318;26,453
20080319;26,331
20080320;26,832
20080325;27,528
20080326;27,491
20080327;27,186
20080328;26,575
20080331;27,198
20080401;27,503
20080402;28,603
20080403;28,664
20080404;28,468
20080407;29,091
20080408;28,712
20080409;28,932
20080410;29,848
20080411;29,775
20080414;30,532
20080415;30,703
20080416;30,288
20080417;30,154
20080418;29,934
20080421;30,813
20080422;30,947
20080423;30,532
20080424;29,934
20080425;30,215
20080428;30,08
20080429;29,543
20080430;29,164
20080502;28,774
20080505;29,922
20080506;30,911
20080507;30,569
20080508;30,422
20080509;30,74
20080512;31,009
20080513;30,581
20080514;29,873
20080515;30,141
20080516;30,398
20080519;30,911
20080520;30,972
20080521;31,424
20080522;31,827
20080523;31,888
20080526;32,218
20080527;32,169
20080528;31,986
20080529;32,474
20080530;31,876
20080602;32,169
20080603;33,134
20080604;32,486
20080605;32,291
20080606;33,634
20080609;33,573
20080610;33,219
20080611;33,366
20080612;33,17
20080613;32,975
20080616;33,134
20080617;33,268
20080618;33,585
20080619;33,756
20080620;33,476
20080623;33,915
20080624;33,927
20080625;33,695
20080626;34,05
20080627;34,611
20080630;35,136
20080701;35,82
20080702;34,184
20080703;33,524
20080704;33,756
20080707;33,598
20080708;31,497
20080709;31,778
20080710;32,584
20080711;33,524
20080714;33,292
20080715;32,144
20080716;30,569
20080717;31,46
20080718;29,922
20080721;29,909
20080722;30,129
20080723;30,215
20080724;30,703
20080725;30,459
20080728;29,812
20080729;28,859
20080730;27,723
20080731;26,942
20080801;26,111
20080804;25,904
20080805;26,465
20080806;27,186
20080807;27,87
20080808;27,613
20080811;27,662
20080812;28,468
20080813;28,908
20080814;28,615
20080815;28,322
20080818;28,81
20080819;28,981
20080820;29,824
20080821;30,19
20080822;30,019
20080825;29,763
20080826;30,19
20080827;30,703
20080828;30,74
20080829;30,764
20080901;30,483
20080902;30,19
20080903;29,86
20080904;30,105
20080905;29,799
20080908;29,543
20080909;27,919
