Reporting starts,Reporting ends,Ad name,Reach,Impressions,Link clicks,Post engagement,Starts,Ends
2020-08-31,2020-08-31,MFS Below 300+ Motion - Engagement,13708,16836,403,11719,2020-08-10,2020-08-31
2020-08-31,2020-08-31,MFS Below 100-300 Motion - Engagement,51744,66712,1659,42854,2020-08-10,2020-08-31
2020-08-31,2020-08-31,MFS Below 100 Motion - Reach,89776,92431,209,3787,2020-08-10,2020-08-31
2020-08-31,2020-08-31,MFS Below 100 Carousel - Reach,150400,152230,322,516,2020-08-10,2020-08-31
2020-08-30,2020-08-30,MFS Below 300+ Motion - Engagement,12524,15554,340,10867,2020-08-10,2020-08-31
2020-08-30,2020-08-30,MFS Below 100-300 Motion - Engagement,46784,61030,1551,40473,2020-08-10,2020-08-31
2020-08-30,2020-08-30,MFS Below 100 Motion - Reach,42824,43917,233,3478,2020-08-10,2020-08-31
2020-08-30,2020-08-30,MFS Below 100 Carousel - Reach,114016,114544,300,627,2020-08-10,2020-08-31
2020-08-29,2020-08-29,MFS Below 300+ Motion - Engagement,13588,17394,282,9928,2020-08-10,2020-08-31
2020-08-29,2020-08-29,MFS Below 100-300 Motion - Engagement,52800,68032,1392,38030,2020-08-10,2020-08-31
2020-08-29,2020-08-29,MFS Below 100 Motion - Reach,46400,47497,344,4316,2020-08-10,2020-08-31
2020-08-29,2020-08-29,MFS Below 100 Carousel - Reach,47753,47753,145,393,2020-08-10,2020-08-31
2020-08-28,2020-08-28,MFS Below 300+ Motion - Engagement,10948,12789,200,8280,2020-08-10,2020-08-31
2020-08-28,2020-08-28,MFS Below 100-300 Motion - Engagement,43184,50623,949,31730,2020-08-10,2020-08-31
2020-08-28,2020-08-28,MFS Below 100 Motion - Reach,51610,51610,412,4619,2020-08-10,2020-08-31
2020-08-28,2020-08-28,MFS Below 100 Carousel - Reach,28409,28409,98,247,2020-08-10,2020-08-31
2020-08-27,2020-08-27,MFS Below 300+ Motion - Engagement,13040,15992,262,10653,2020-08-10,2020-08-31
2020-08-27,2020-08-27,MFS Below 100-300 Motion - Engagement,48272,62603,1162,41136,2020-08-10,2020-08-31
2020-08-27,2020-08-27,MFS Below 100 Motion - Reach,67216,69876,475,5569,2020-08-10,2020-08-31
2020-08-27,2020-08-27,MFS Below 100 Carousel - Reach,40552,40552,118,276,2020-08-10,2020-08-31
2020-08-26,2020-08-26,MFS Below 300+ Motion - Engagement,13408,16300,262,10914,2020-08-10,2020-08-31
2020-08-26,2020-08-26,MFS Below 100-300 Motion - Engagement,49584,63846,1196,41513,2020-08-10,2020-08-31
2020-08-26,2020-08-26,MFS Below 100 Motion - Reach,68687,70510,465,5470,2020-08-10,2020-08-31
2020-08-26,2020-08-26,MFS Below 100 Carousel - Reach,52064,52656,139,313,2020-08-10,2020-08-31
2020-08-25,2020-08-25,MFS Below 300+ Motion - Engagement,13052,15842,297,11487,2020-08-10,2020-08-31
2020-08-25,2020-08-25,MFS Below 100-300 Motion - Engagement,48449,61881,1188,43982,2020-08-10,2020-08-31
2020-08-25,2020-08-25,MFS Below 100 Motion - Reach,79664,81923,443,5920,2020-08-10,2020-08-31
2020-08-25,2020-08-25,MFS Below 100 Carousel - Reach,51216,52183,143,336,2020-08-10,2020-08-31
2020-08-24,2020-08-24,MFS Below 300+ Motion - Engagement,13280,16330,293,12128,2020-08-10,2020-08-31
